main(50, 0.9, 0.4)
121: Viorest: 4.2641e-13, aptitud: 1000.00000000000000000000, vector: 0.16761987806054968000 0.13368149708445967000 0.18922320049650518000 0.1892232004969315900012.79740054965402300000
122: Viorest: 4.2641e-13, aptitud: 1000.00000000000000000000, vector: 0.16761987806054968000 0.13368149708445967000 0.18922320049650518000 0.1892232004969315900012.79740054965402300000
123: Viorest: 9.2149e-15, aptitud: 1000.00000000000000000000, vector: 0.39168978226028228000 0.23898218671456317000 0.46306883468992155000 0.4630688346899307600010.51657060851588600000
124: Viorest: 9.2149e-15, aptitud: 1000.00000000000000000000, vector: 0.39168978226028228000 0.23898218671456317000 0.46306883468992155000 0.4630688346899307600010.51657060851588600000
125: Viorest: 9.2149e-15, aptitud: 1000.00000000000000000000, vector: 0.39168978226028228000 0.23898218671456317000 0.46306883468992155000 0.4630688346899307600010.51657060851588600000
126: Viorest: 9.2149e-15, aptitud: 1000.00000000000000000000, vector: 0.39168978226028228000 0.23898218671456317000 0.46306883468992155000 0.4630688346899307600010.51657060851588600000
127: Viorest: 9.2149e-15, aptitud: 1000.00000000000000000000, vector: 0.39168978226028228000 0.23898218671456317000 0.46306883468992155000 0.4630688346899307600010.51657060851588600000
128: Viorest: 9.2149e-15, aptitud: 1000.00000000000000000000, vector: 0.39168978226028228000 0.23898218671456317000 0.46306883468992155000 0.4630688346899307600010.51657060851588600000
129: Viorest: 9.2149e-15, aptitud: 1000.00000000000000000000, vector: 0.39168978226028228000 0.23898218671456317000 0.46306883468992155000 0.4630688346899307600010.51657060851588600000
130: Viorest: 9.2149e-15, aptitud: 1000.00000000000000000000, vector: 0.39168978226028228000 0.23898218671456317000 0.46306883468992155000 0.4630688346899307600010.51657060851588600000
131: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
132: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
133: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
134: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
135: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
136: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
137: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.34097466531017273000 0.27169958841715636000 0.44621175656131440000 0.44621175656131451000-5.76807962547963270000
