main( 50, .9, .4)
139: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
140: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
141: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
142: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
143: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
144: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
145: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
146: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
147: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
148: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
149: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
150: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
151: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
152: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
153: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
154: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
155: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
156: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
157: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
158: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
159: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
160: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
161: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
162: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
